query,id,Text,Text_processed,Sentiment,SentimentB
#covid-19 OR #covid_19 OR #covid19 OR #covid OR covid OR covid19 OR covid_19 OR covid-19 AND online AND classes,1373199029379559437,"TAMIL NADU SUSPENDS CLASSES IX TO XI FROM 22ND TILL FURTHER ORDERS.  ONLINE CLASSES TO CONTINUE 

CLASS FOR  XII TO CONTINUE WITH SOP 

COVID CASES REPORTED IN SCHOOLS IN THANJAVUR AND A FEW OTHER DISTRICTS 

@ndtv",tamil nadu suspends class ix xi nd till order online class continueclass xii continue sopcovid case reported school thanjavur districtsndtv,0.0,0.0
#covid-19 OR #covid_19 OR #covid19 OR #covid OR covid OR covid19 OR covid_19 OR covid-19 AND online AND classes,1373146601611403266,"@DrMohanYadav51 @BJP4MP @BJP4India Respect sir,
I am student of Davv sir please give the confirmation on open book exam because day by day covid case increases and due to online classes syllabus was not completed 
#DAVV_OPEN_BOOK_EXAM
#studentsboycottofflineexam
@ChouhanShivraj",respect siri student davv sir please give confirmation open book exam day day covid case increase due online class syllabus completed davvopenbookexamstudentsboycottofflineexamchouhanshivraj,-0.0625,-1.0
#covid-19  OR #covid_19 OR #covid19 OR #covid OR covid OR covid19 OR covid_19 OR covid-19 AND online AND classes,1371462426684764166,"@INYE0PLOVE ok one kdrama a week is kind of an over exaggeration, maybe like one kdrama every two weeks? classes being online helps tho since i have so much free time and covid bad in the states so we can’t even go anywhere lmaoo",ok one kdrama week kind exaggeration maybe like one kdrama every two week class online help tho since much free time covid bad state cant even go anywhere lmaoo,0.2,1.0
#covid-19  OR #covid_19 OR #covid19 OR #covid OR covid OR covid19 OR covid_19 OR covid-19 AND online AND classes,1369446976799059979,To get my business name and my name in general out there. Not to mention covid was no slowing down one bit and online classes just kept dropping homework but I was determined to finish my bachelors degree and graduate with a double minor (which I did),get business name name general mention covid slowing one bit online class kept dropping homework determined finish bachelor degree graduate double minor,4.625929269271485e-18,1.0
#covid-19  OR #covid_19 OR #covid19 OR #covid OR covid OR covid19 OR covid_19 OR covid-19 AND online AND classes,1371037261454737410,"How is everyone doing? Due to the recent surges of COVID-19 active cases, new infectious variants, and imposed curfew for the next couple of weeks I'll be deferring doing face-to-face classes for the meantime. 

See you online! Stay safe and more vigilant.

#ferdzflowyoga https://t.co/rcOC3fo9tY",everyone due recent surge covid active case new infectious variant imposed curfew next couple week ill deferring facetoface class meantime see online stay safe vigilantferdzflowyoga,-0.0174242424242424,-1.0
#covid-19 OR #covid_19 OR #covid19 OR #covid OR covid OR covid19 OR covid_19 OR covid-19 AND online AND classes,1373148078299963397,"@BJP4MP @DrMohanYadav51 @ChouhanShivraj Respect sir,
I am student of Davv sir please give the confirmation on open book exam because day by day covid case increases and due to online classes syllabus was not completed 
#Davv open book exam
#open book
@ChouhanShivraj",respect siri student davv sir please give confirmation open book exam day day covid case increase due online class syllabus completed davv open book examopen bookchouhanshivraj,-0.0416666666666666,-1.0
#covid-19  OR #covid_19 OR #covid19 OR #covid OR covid OR covid19 OR covid_19 OR covid-19 AND online AND classes,1371370774070763523,"All of us have experienced numerous changes during last year due to #Covid19. Among others, #classes have moved to an #online environment, where many #teachers may struggle to maintain #PositiveBehaviour #PBIS among students. @SuiGoei gives us some clues: https://t.co/0CsxV9Jpjt",u experienced numerous change last year due among others moved environment many may struggle maintain among student give u clue,0.235,1.0
#covid-19  OR #covid_19 OR #covid19 OR #covid OR covid OR covid19 OR covid_19 OR covid-19 AND online AND classes,1371402885817196550,@TelanganaCMO I'm Meera studying  10th. I'm from a poor family&amp; I did not had a chance to attend any online classes in the past few months. My parents are not allowing me to go to school due to the covid pandemic. It's really hard to study like this I request you to promote us.,im meera studying th im poor familyamp chance attend online class past month parent allowing go school due covid pandemic really hard study like request promote u,-0.2666666666666666,-1.0
#covid-19 OR #covid_19 OR #covid19 OR #covid OR covid OR covid19 OR covid_19 OR covid-19 AND online AND classes,1373003604026613760,Not much good has good from Covid-19 but we have seen the importance of having online classes available to students and the ability to access online materials. I have seen firsthand how challenging it is when certain materials are not available online.,much good good covid seen importance online class available student ability access online material seen firsthand challenging certain material available online,0.4857142857142857,1.0
#covid-19  OR #covid_19 OR #covid19 OR #covid OR covid OR covid19 OR covid_19 OR covid-19 AND online AND classes,1368902231647477765,"#cancelcaieexams2021
Dear @Shafqat_Mahmood you are our last hope We need your help From last 9months institutions were closed online classes were non serious and now we are also afraid from covid 19 as my friend's test got positive And now we want to Cambridge exams get cancelled",dear last hope need help last month institution closed online class non serious also afraid covid friend test got positive want cambridge exam get cancelled,-0.1343434343434343,-1.0
